dataset,model,label,predictor,feature_set,cv_mode,folds_used,positives,negatives,auroc_raw,auroc_directional,auprc,run
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::sfrm_composite_score,predefined_score,none,0,42,126,0.9896069538926682,0.9896069538926682,0.9748269095936256,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,predefined::sfrm_balanced_score,predefined_score,none,0,42,126,0.9754346182917611,0.9754346182917611,0.9157017078944638,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,logistic_l2::global_features,global_features,group_kfold,5,42,126,0.99848828420257,0.99848828420257,0.995515102171775,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,lasso_logistic_l1::global_features,global_features,group_kfold,5,42,126,0.9982993197278912,0.9982993197278912,0.9949046015612744,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,random_forest::global_features,global_features,group_kfold,5,42,126,0.9971655328798186,0.9971655328798186,0.9928171941586348,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,logistic_l2::sfrm_features,sfrm_features,group_kfold,5,42,126,0.9986772486772488,0.9986772486772488,0.9960813042623674,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,5,42,126,0.9967876039304612,0.9967876039304612,0.9907608205399798,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,random_forest::sfrm_features,sfrm_features,group_kfold,5,42,126,0.9994331065759636,0.9994331065759636,0.9983508554937128,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.9990551776266062,0.9990551776266062,0.9972296091127628,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,lasso_logistic_l1::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.9977324263038548,0.9977324263038548,0.9933364836888088,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,high_lecr_uncertainty_ge_q0.75,random_forest::all_deployable_features,all_deployable_features,group_kfold,5,42,126,0.999244142101285,0.999244142101285,0.997810329205678,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,predefined::global_mean_entropy,predefined_score,none,0,8,160,0.7593749999999999,0.7593749999999999,0.0976232968732233,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,predefined::global_max_entropy,predefined_score,none,0,8,160,0.1882812499999999,0.81171875,0.0317638900065995,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,predefined::global_mean_margin_uncertainty,predefined_score,none,0,8,160,0.75546875,0.75546875,0.096207928832718,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,gray_high_dice_high_boundary_error,predefined::foreground_area_frac,predefined_score,none,0,8,160,0.74921875,0.74921875,0.09604554922902,stage3_predictor_monuseg_point_seed42
