dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction,run
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,168,0.2,34,42,33,0.7857142857142857,0.9705882352941176,3.928571428571429,0.0671641791044776,0.7313432835820896,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::global_features,global_features,group_kfold,168,0.3,51,42,40,0.9523809523809524,0.7843137254901961,3.1746031746031744,0.017094017094017,0.9316239316239316,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.2,34,42,33,0.7857142857142857,0.9705882352941176,3.928571428571429,0.0671641791044776,0.7313432835820896,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.3,51,42,40,0.9523809523809524,0.7843137254901961,3.1746031746031744,0.017094017094017,0.9316239316239316,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,168,0.2,34,42,33,0.7857142857142857,0.9705882352941176,3.928571428571429,0.0671641791044776,0.7313432835820896,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::global_features,global_features,group_kfold,168,0.3,51,42,39,0.9285714285714286,0.7647058823529411,3.095238095238096,0.0256410256410256,0.8974358974358975,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.2,34,42,34,0.8095238095238095,1.0,4.047619047619048,0.0597014925373134,0.7611940298507462,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.3,51,42,40,0.9523809523809524,0.7843137254901961,3.1746031746031744,0.017094017094017,0.9316239316239316,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.2,34,42,34,0.8095238095238095,1.0,4.047619047619048,0.0597014925373134,0.7611940298507462,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.3,51,42,39,0.9285714285714286,0.7647058823529411,3.095238095238096,0.0256410256410256,0.8974358974358975,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.1,17,42,16,0.3809523809523809,0.9411764705882352,3.809523809523809,0.1721854304635761,0.3112582781456954,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.2,34,42,32,0.7619047619047619,0.9411764705882352,3.809523809523809,0.0746268656716417,0.7014925373134329,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.3,51,42,40,0.9523809523809524,0.7843137254901961,3.1746031746031744,0.017094017094017,0.9316239316239316,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,42,9,0.2142857142857142,1.0,4.285714285714286,0.2075471698113207,0.1698113207547169,stage3_predictor_monuseg_point_seed42
MoNuSeg,point_seed42,low_boundary_dice_le_q25,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,42,17,0.4047619047619047,1.0,4.047619047619048,0.1655629139072847,0.3377483443708609,stage3_predictor_monuseg_point_seed42
