dataset,model,label,score,positives,negatives,auroc_directional,auprc
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_entropy,31,137,0.583941605839416,0.1762666733616809
monuseg,prototype_seed42,bad_dice_lt_0.65,global_max_entropy,31,137,0.5540381445726394,0.16669579679332586
monuseg,prototype_seed42,bad_dice_lt_0.65,global_mean_margin_uncertainty,31,137,0.6632917353425948,0.14410081416138665
monuseg,prototype_seed42,bad_dice_lt_0.65,foreground_area_frac,31,137,0.9192371085472097,0.10565325378068319
monuseg,prototype_seed42,bad_dice_lt_0.65,boundary_risk_score,31,137,0.9709206498704968,0.904165928014708
monuseg,prototype_seed42,bad_dice_lt_0.65,boundary_overconfidence_score,31,137,0.9761007770190723,0.1030114060349868
monuseg,prototype_seed42,bad_dice_lt_0.65,boundary_abnormality_score,31,137,0.9509065222510007,0.8969057448606436
monuseg,prototype_seed42,bad_dice_lt_0.65,boundary_dual_risk_score,31,137,0.8465975983046857,0.6717677406287996
monuseg,prototype_seed42,bad_dice_lt_0.65,uncertainty_cluster_score,31,137,0.6562279255945374,0.1440423729130345
monuseg,prototype_seed42,bad_dice_lt_0.65,topology_risk_score,31,137,0.5522721921356251,0.16113338885650014
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_composite_score,31,137,0.5827643042147399,0.22431867123185095
monuseg,prototype_seed42,bad_dice_lt_0.65,sfrm_balanced_score,31,137,0.5264892865552154,0.19370489236759203
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_entropy,42,126,0.655328798185941,0.1995427677994915
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_max_entropy,42,126,0.5028344671201813,0.24015265365152333
monuseg,prototype_seed42,low_boundary_dice_le_q25,global_mean_margin_uncertainty,42,126,0.7328042328042328,0.17340317118243298
monuseg,prototype_seed42,low_boundary_dice_le_q25,foreground_area_frac,42,126,0.8907785336356765,0.14693643241516094
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_risk_score,42,126,0.8934240362811791,0.8220556819077148
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_overconfidence_score,42,126,0.9290438397581254,0.14386056895562185
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_abnormality_score,42,126,0.8201058201058201,0.8222462112114314
monuseg,prototype_seed42,low_boundary_dice_le_q25,boundary_dual_risk_score,42,126,0.7118291761148904,0.6049668717612453
monuseg,prototype_seed42,low_boundary_dice_le_q25,uncertainty_cluster_score,42,126,0.7290249433106576,0.17316034465168822
monuseg,prototype_seed42,low_boundary_dice_le_q25,topology_risk_score,42,126,0.6555177626606198,0.1874354558973192
monuseg,prototype_seed42,low_boundary_dice_le_q25,sfrm_composite_score,42,126,0.5334467120181406,0.2338693781858383
monuseg,prototype_seed42,low_boundary_dice_le_q25,sfrm_balanced_score,42,126,0.611111111111111,0.20527864894303222
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_entropy,42,126,0.737339380196523,0.5136050989783977
monuseg,prototype_seed42,high_error_ge_q0.75,global_max_entropy,42,126,0.7660619803476947,0.16446093316655186
monuseg,prototype_seed42,high_error_ge_q0.75,global_mean_margin_uncertainty,42,126,0.7617157974300832,0.5903157876094032
monuseg,prototype_seed42,high_error_ge_q0.75,foreground_area_frac,42,126,0.6717687074829932,0.641092789789953
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_risk_score,42,126,0.581254724111867,0.4472456695410606
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_overconfidence_score,42,126,0.5105820105820106,0.29558979565603005
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_abnormality_score,42,126,0.6101662887377174,0.3982004784061416
monuseg,prototype_seed42,high_error_ge_q0.75,boundary_dual_risk_score,42,126,0.6726190476190476,0.43508551574270826
monuseg,prototype_seed42,high_error_ge_q0.75,uncertainty_cluster_score,42,126,0.7054043839758126,0.5010857303489581
monuseg,prototype_seed42,high_error_ge_q0.75,topology_risk_score,42,126,0.80489417989418,0.6428263760330727
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_composite_score,42,126,0.7828798185941043,0.5596875243186819
monuseg,prototype_seed42,high_error_ge_q0.75,sfrm_balanced_score,42,126,0.8134920634920636,0.640861727251517
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_entropy,42,126,0.8747165532879819,0.6757999810147207
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,global_max_entropy,42,126,0.7911942554799698,0.16127034183835362
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,global_mean_margin_uncertainty,42,126,0.9168556311413454,0.807482513387592
monuseg,prototype_seed42,high_boundary_error_ge_q0.75,foreground_area_frac,42,126,0.8297430083144368,0.7938634957294664
