dataset,model,label,score,ranking_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,330,7,0.021212121212121213,0.2692307692307692,0.42424242424242425,0.6757322175732218,-0.032027386839102334
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,330,18,0.05454545454545454,0.35294117647058826,0.5454545454545454,0.6887417218543046,-0.051896447922938016
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,330,42,0.12727272727272726,0.4158415841584158,0.6363636363636362,0.7146401985111662,-0.09145048499887198
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,330,75,0.22727272727272727,0.4934210526315789,0.7575757575757576,0.7244318181818182,-0.10640495867768607
consep,prototype_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.05,26,330,23,0.0696969696969697,0.8846153846153846,1.393939393939394,0.6422594142259415,0.01909471281856212
consep,prototype_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.1,51,330,42,0.12727272727272726,0.8235294117647058,1.2727272727272725,0.6357615894039735,0.02901866345574955
consep,prototype_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.2,101,330,74,0.22424242424242424,0.7326732673267327,1.121212121212121,0.6352357320099256,0.029821791112113694
consep,prototype_seed123,bad_dice_lt_0.65,global_max_entropy__raw_global_ranking,raw_global_ranking,504,0.3,152,330,108,0.32727272727272727,0.7105263157894737,1.090909090909091,0.6306818181818182,0.03677685950413212
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.05,26,330,8,0.024242424242424242,0.3076923076923077,0.4848484848484848,0.6736401673640168,-0.028832255610498292
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.1,51,330,18,0.05454545454545454,0.35294117647058826,0.5454545454545454,0.6887417218543046,-0.051896447922938016
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.2,101,330,42,0.12727272727272726,0.4158415841584158,0.6363636363636362,0.7146401985111662,-0.09145048499887198
consep,prototype_seed123,bad_dice_lt_0.65,global_mean_margin_uncertainty__raw_global_ranking,raw_global_ranking,504,0.3,152,330,75,0.22727272727272727,0.4934210526315789,0.7575757575757576,0.7244318181818182,-0.10640495867768607
consep,prototype_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.05,26,330,0,0.0,0.0,0.0,0.6903765690376569,-0.05439330543933041
consep,prototype_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.1,51,330,1,0.0030303030303030303,0.0196078431372549,0.0303030303030303,0.7262693156732892,-0.10921131848284182
consep,prototype_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.2,101,330,21,0.06363636363636363,0.2079207920792079,0.3181818181818181,0.7667493796526055,-0.17103541619670648
consep,prototype_seed123,bad_dice_lt_0.65,foreground_area_frac__raw_global_ranking,raw_global_ranking,504,0.3,152,330,63,0.19090909090909092,0.4144736842105263,0.6363636363636365,0.7585227272727273,-0.1584710743801654
consep,prototype_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.05,26,330,25,0.07575757575757576,0.9615384615384616,1.5151515151515151,0.6380753138075314,0.025484975275770316
consep,prototype_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.1,51,330,40,0.12121212121212122,0.7843137254901961,1.2121212121212122,0.6401766004415012,0.02227573750752554
consep,prototype_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.2,101,330,76,0.23030303030303031,0.7524752475247525,1.1515151515151516,0.630272952853598,0.03740130836905042
consep,prototype_seed123,bad_dice_lt_0.65,boundary_risk_score__raw_global_ranking,raw_global_ranking,504,0.3,152,330,109,0.3303030303030303,0.7171052631578947,1.1010101010101012,0.6278409090909091,0.041115702479338934
consep,prototype_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.05,26,330,6,0.01818181818181818,0.23076923076923078,0.3636363636363636,0.6778242677824268,-0.035222518067706376
consep,prototype_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.1,51,330,24,0.07272727272727272,0.47058823529411764,0.7272727272727272,0.6754966887417219,-0.0316676700782661
consep,prototype_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.2,101,330,55,0.16666666666666666,0.5445544554455446,0.8333333333333333,0.6823821339950372,-0.042183622828784184
consep,prototype_seed123,bad_dice_lt_0.65,boundary_overconfidence_score__raw_global_ranking,raw_global_ranking,504,0.3,152,330,85,0.25757575757575757,0.5592105263157895,0.8585858585858586,0.6960227272727273,-0.06301652892561993
