dataset,model,label,predictor,feature_set,cv_mode,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.1,17,43,16,0.37209302325581395,0.9411764705882353,3.7209302325581395,0.17880794701986755,0.3014015093177267
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.2,34,43,25,0.5813953488372093,0.7352941176470589,2.9069767441860463,0.13432835820895522,0.4751822283929191
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_entropy,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.05,9,43,0,0.0,0.0,0.0,0.27044025157232704,-0.05660377358490565
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.1,17,43,2,0.046511627906976744,0.11764705882352941,0.46511627906976744,0.271523178807947,-0.06083474511011877
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.2,34,43,12,0.27906976744186046,0.35294117647058826,1.3953488372093021,0.23134328358208955,0.09614717112113846
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_max_entropy,predefined_score,none,168,0.3,51,43,17,0.3953488372093023,0.3333333333333333,1.317829457364341,0.2222222222222222,0.13178294573643412
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.1,17,43,16,0.37209302325581395,0.9411764705882353,3.7209302325581395,0.17880794701986755,0.3014015093177267
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.2,34,43,25,0.5813953488372093,0.7352941176470589,2.9069767441860463,0.13432835820895522,0.4751822283929191
monuseg,point_seed42,bad_dice_lt_0.65,predefined::global_mean_margin_uncertainty,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873
monuseg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.1,17,43,14,0.32558139534883723,0.8235294117647058,3.255813953488372,0.19205298013245034,0.24965347297089158
monuseg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591
monuseg,point_seed42,bad_dice_lt_0.65,predefined::foreground_area_frac,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.05,9,43,3,0.06976744186046512,0.3333333333333333,1.3953488372093021,0.25157232704402516,0.017112768758227204
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.1,17,43,5,0.11627906976744186,0.29411764705882354,1.1627906976744184,0.25165562913907286,0.016787309410133844
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.2,34,43,11,0.2558139534883721,0.3235294117647059,1.2790697674418605,0.23880597014925373,0.06699062825407842
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_risk_score,predefined_score,none,168,0.3,51,43,19,0.4418604651162791,0.37254901960784315,1.4728682170542637,0.20512820512820512,0.1985688729874776
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.05,9,43,0,0.0,0.0,0.0,0.27044025157232704,-0.05660377358490565
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.1,17,43,1,0.023255813953488372,0.058823529411764705,0.23255813953488372,0.2781456953642384,-0.08670876328353616
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.2,34,43,4,0.09302325581395349,0.11764705882352941,0.46511627906976744,0.291044776119403,-0.137105171815342
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_overconfidence_score,predefined_score,none,168,0.3,51,43,8,0.18604651162790697,0.1568627450980392,0.6201550387596899,0.29914529914529914,-0.16875372689326174
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.05,9,43,3,0.06976744186046512,0.3333333333333333,1.3953488372093021,0.25157232704402516,0.017112768758227204
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.1,17,43,5,0.11627906976744186,0.29411764705882354,1.1627906976744184,0.25165562913907286,0.016787309410133844
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.2,34,43,13,0.3023255813953488,0.38235294117647056,1.511627906976744,0.22388059701492538,0.1253037139881984
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_abnormality_score,predefined_score,none,168,0.3,51,43,22,0.5116279069767442,0.43137254901960786,1.7054263565891474,0.1794871794871795,0.2987477638640429
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.05,9,43,1,0.023255813953488372,0.1111111111111111,0.46511627906976744,0.2641509433962264,-0.032031592803861475
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.1,17,43,2,0.046511627906976744,0.11764705882352941,0.46511627906976744,0.271523178807947,-0.06083474511011877
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.2,34,43,6,0.13953488372093023,0.17647058823529413,0.6976744186046511,0.27611940298507465,-0.0787920860812219
monuseg,point_seed42,bad_dice_lt_0.65,predefined::boundary_dual_risk_score,predefined_score,none,168,0.3,51,43,11,0.2558139534883721,0.21568627450980393,0.8527131782945737,0.27350427350427353,-0.06857483601669667
monuseg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.18543046357615894,0.2755274911443092
monuseg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.2,34,43,26,0.6046511627906976,0.7647058823529411,3.023255813953488,0.12686567164179105,0.5043387712599792
monuseg,point_seed42,bad_dice_lt_0.65,predefined::uncertainty_cluster_score,predefined_score,none,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.1,17,43,16,0.37209302325581395,0.9411764705882353,3.7209302325581395,0.17880794701986755,0.3014015093177267
monuseg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591
monuseg,point_seed42,bad_dice_lt_0.65,predefined::topology_risk_score,predefined_score,none,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.10256410256410256,0.5992844364937389
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.1,17,43,17,0.3953488372093023,1.0,3.9534883720930227,0.17218543046357615,0.3272755274911443
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.2,34,43,29,0.6744186046511628,0.8529411764705882,3.3720930232558137,0.1044776119402985,0.5918083998611593
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_composite_score,predefined_score,none,168,0.3,51,43,33,0.7674418604651163,0.6470588235294118,2.558139534883721,0.08547008547008547,0.6660703637447822
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.05,9,43,7,0.16279069767441862,0.7777777777777778,3.255813953488372,0.22641509433962265,0.11540149188240445
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.2,34,43,24,0.5581395348837209,0.7058823529411765,2.7906976744186043,0.1417910447761194,0.4460256855258591
monuseg,point_seed42,bad_dice_lt_0.65,predefined::sfrm_balanced_score,predefined_score,none,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.10256410256410256,0.5992844364937389
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.18543046357615894,0.2755274911443092
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::global_features,global_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.1,17,43,15,0.3488372093023256,0.8823529411764706,3.488372093023256,0.18543046357615894,0.2755274911443092
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::global_features,global_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.2,34,43,20,0.46511627906976744,0.5882352941176471,2.325581395348837,0.17164179104477612,0.3293995140576188
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::global_features,global_features,group_kfold,168,0.3,51,43,28,0.6511627906976745,0.5490196078431373,2.170542635658915,0.1282051282051282,0.4991055456171736
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,31,0.7209302325581395,0.6078431372549019,2.4031007751937983,0.10256410256410256,0.5992844364937389
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,9,0.20930232558139536,1.0,4.186046511627907,0.2138364779874214,0.16454585344449313
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,14,0.32558139534883723,0.8235294117647058,3.255813953488372,0.19205298013245034,0.24965347297089158
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,22,0.5116279069767442,0.6470588235294118,2.558139534883721,0.15671641791044777,0.3877125997917389
monuseg,point_seed42,bad_dice_lt_0.65,lasso_logistic_l1::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,30,0.6976744186046512,0.5882352941176471,2.3255813953488373,0.1111111111111111,0.5658914728682171
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.2,34,43,22,0.5116279069767442,0.6470588235294118,2.558139534883721,0.15671641791044777,0.3877125997917389
monuseg,point_seed42,bad_dice_lt_0.65,random_forest::sfrm_features,sfrm_features,group_kfold,168,0.3,51,43,32,0.7441860465116279,0.6274509803921569,2.4806201550387597,0.09401709401709402,0.6326774001192605
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.05,9,43,8,0.18604651162790697,0.8888888888888888,3.7209302325581395,0.22012578616352202,0.13997367266344873
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.1,17,43,13,0.3023255813953488,0.7647058823529411,3.023255813953488,0.1986754966887417,0.2237794547974742
monuseg,point_seed42,bad_dice_lt_0.65,logistic_l2::all_deployable_features,all_deployable_features,group_kfold,168,0.2,34,43,21,0.4883720930232558,0.6176470588235294,2.441860465116279,0.16417910447761194,0.35855605692467885
