dataset,model,label,score,n,budget,review_count,positives,captured,recall,precision,enrichment_over_random,remaining_positive_rate,accepted_bad_case_reduction
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_entropy,168,0.05,9,69,5,0.07246376811594203,0.5555555555555556,1.4492753623188406,0.4025157232704403,0.01996171725458018
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_entropy,168,0.1,17,69,10,0.14492753623188406,0.5882352941176471,1.4492753623188406,0.39072847682119205,0.04866109991361933
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_entropy,168,0.2,34,69,11,0.15942028985507245,0.3235294117647059,0.7971014492753622,0.43283582089552236,-0.05386112913692398
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_entropy,168,0.3,51,69,13,0.18840579710144928,0.2549019607843137,0.6280193236714976,0.47863247863247865,-0.16536603493125246
monuseg,prototype_seed7,bad_dice_lt_0.65,global_max_entropy,168,0.05,9,69,0,0.0,0.0,0.0,0.4339622641509434,-0.05660377358490565
monuseg,prototype_seed7,bad_dice_lt_0.65,global_max_entropy,168,0.1,17,69,0,0.0,0.0,0.0,0.45695364238410596,-0.11258278145695377
monuseg,prototype_seed7,bad_dice_lt_0.65,global_max_entropy,168,0.2,34,69,9,0.13043478260869565,0.2647058823529412,0.6521739130434782,0.44776119402985076,-0.0902011680726802
monuseg,prototype_seed7,bad_dice_lt_0.65,global_max_entropy,168,0.3,51,69,23,0.3333333333333333,0.45098039215686275,1.1111111111111112,0.39316239316239315,0.042735042735042694
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.05,9,69,1,0.014492753623188406,0.1111111111111111,0.2898550724637681,0.4276729559748428,-0.04129067541700859
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.1,17,69,3,0.043478260869565216,0.17647058823529413,0.43478260869565216,0.4370860927152318,-0.06420961704578176
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.2,34,69,10,0.14492753623188406,0.29411764705882354,0.7246376811594203,0.44029850746268656,-0.0720311486048022
monuseg,prototype_seed7,bad_dice_lt_0.65,global_mean_margin_uncertainty,168,0.3,51,69,13,0.18840579710144928,0.2549019607843137,0.6280193236714976,0.47863247863247865,-0.16536603493125246
monuseg,prototype_seed7,bad_dice_lt_0.65,foreground_area_frac,168,0.05,9,69,0,0.0,0.0,0.0,0.4339622641509434,-0.05660377358490565
monuseg,prototype_seed7,bad_dice_lt_0.65,foreground_area_frac,168,0.1,17,69,0,0.0,0.0,0.0,0.45695364238410596,-0.11258278145695377
monuseg,prototype_seed7,bad_dice_lt_0.65,foreground_area_frac,168,0.2,34,69,0,0.0,0.0,0.0,0.5149253731343284,-0.25373134328358216
monuseg,prototype_seed7,bad_dice_lt_0.65,foreground_area_frac,168,0.3,51,69,1,0.014492753623188406,0.0196078431372549,0.04830917874396135,0.5811965811965812,-0.4150873281308065
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_risk_score,168,0.05,9,69,9,0.13043478260869565,1.0,2.6086956521739126,0.37735849056603776,0.08121410992616884
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_risk_score,168,0.1,17,69,17,0.2463768115942029,1.0,2.463768115942029,0.3443708609271523,0.16153181687302043
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_risk_score,168,0.2,34,69,31,0.4492753623188406,0.9117647058823529,2.2463768115942027,0.2835820895522388,0.30953926022063594
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_risk_score,168,0.3,51,69,43,0.6231884057971014,0.8431372549019608,2.077294685990338,0.2222222222222222,0.4589371980676329
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_overconfidence_score,168,0.05,9,69,0,0.0,0.0,0.0,0.4339622641509434,-0.05660377358490565
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_overconfidence_score,168,0.1,17,69,3,0.043478260869565216,0.17647058823529413,0.43478260869565216,0.4370860927152318,-0.06420961704578176
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_overconfidence_score,168,0.2,34,69,5,0.07246376811594203,0.14705882352941177,0.36231884057971014,0.47761194029850745,-0.16288124594419218
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_overconfidence_score,168,0.3,51,69,6,0.08695652173913043,0.11764705882352941,0.2898550724637681,0.5384615384615384,-0.3110367892976589
monuseg,prototype_seed7,bad_dice_lt_0.65,boundary_abnormality_score,168,0.05,9,69,6,0.08695652173913043,0.6666666666666666,1.7391304347826086,0.39622641509433965,0.035274815422477346
